"space","time","u","f"
0.02,0.67,-0.0014884517997260937,0.06266661678215212
0.02,0.68,-0.0014751303171299703,0.06266661678215212
0.02,0.6900000000000001,-0.0014607982007923083,0.06266661678215212
0.02,0.7000000000000001,-0.0014454554507131064,0.06266661678215212
0.02,0.71,-0.001428956440658232,0.06266661678215212
0.02,0.72,-0.0014111637493543028,0.06266661678215212
0.02,0.73,-0.0013920773768013245,0.06266661678215212
0.02,0.74,-0.001371697322999296,0.06266661678215212
0.02,0.75,-0.001350023587948218,0.06266661678215212
0.02,0.76,-0.001326851449737183,0.06266661678215212
0.02,0.77,-0.0013019869878641008,0.06266661678215212
0.02,0.78,-0.0012754302023289734,0.06266661678215212
0.02,0.79,-0.001247181093131801,0.06266661678215212
0.02,0.8,-0.0012172396602725837,0.06266661678215212
0.02,0.81,-0.001185324236339984,0.06266661678215212
0.02,0.8200000000000001,-0.0011511666277717425,0.06266661678215212
0.02,0.8300000000000001,-0.0011147668345678594,0.06266661678215212
0.02,0.84,-0.0010761248567283347,0.06266661678215212
0.02,0.85,-0.0010352406942531686,0.06266661678215212
0.02,0.86,-0.0009917285874169804,0.06266661678215212
0.02,0.87,-0.0009452240992759696,0.06266661678215212
0.02,0.88,-0.0008957272298301382,0.06266661678215212
0.02,0.89,-0.0008432379790794865,0.06266661678215212
0.02,0.9,-0.0007877563470240142,0.06266661678215212
0.02,0.91,-0.0007287668529455685,0.06266661678215212
0.02,0.92,-0.0006657673446452895,0.06266661678215212
0.02,0.93,-0.0005987578221231759,0.06266661678215212
0.02,0.9400000000000001,-0.0005277382853792283,0.06266661678215212
0.02,0.9500000000000001,-0.0004527087344134464,0.06266661678215212
0.02,0.96,-0.0003729384100103475,0.06266661678215212
0.02,0.97,-0.0002877823743674526,0.06266661678215212
0.02,0.98,-0.00019724062748476313,0.06266661678215212
0.02,0.99,-0.00010131316936227893,0.06266661678215212
0.02,1.,-2.769499086006466e-19,0.06266661678215212
0.03,0.,-5.843242556480277e-19,0.0936906572928623
0.03,0.01,-0.00015128435121856135,0.0936906572928623
0.03,0.02,-0.0002944901355774302,0.0936906572928623
0.03,0.03,-0.00042961735307660715,0.0936906572928623
0.03,0.04,-0.0005566660037160923,0.0936906572928623
0.03,0.05,-0.0006756360874958856,0.0936906572928623
0.03,0.06,-0.0007876956808899536,0.0936906572928623
0.03,0.07,-0.00089374025295127,0.0936906572928623
0.03,0.08,-0.0009937698036798345,0.0936906572928623
0.03,0.09,-0.0010877843330756472,0.0936906572928623
0.03,0.1,-0.0011757838411387083,0.0936906572928623
0.03,0.11,-0.0012586432037659848,0.0936906572928623
0.03,0.12,-0.001337013994436031,0.0936906572928623
0.03,0.13,-0.001410896213148846,0.0936906572928623
0.03,0.14,-0.0014802898599044307,0.0936906572928623
0.03,0.15,-0.0015451949347027839,0.0936906572928623
0.03,0.16,-0.0016062552900866173,0.0936906572928623
0.03,0.17,-0.001663952368516989,0.0936906572928623
0.03,0.18,-0.0017182861699938986,0.0936906572928623
0.03,0.19,-0.001769256694517346,0.0936906572928623
0.03,0.2,-0.0018168639420873315,0.0936906572928623
0.03,0.21,-0.0018615818530491007,0.0936906572928623
0.03,0.22,-0.001903761278517802,0.0936906572928623
0.03,0.23,-0.0019434022184934361,0.0936906572928623
0.03,0.24,-0.001980504672976002,0.0936906572928623
0.03,0.25,-0.0020150686419655004,0.0936906572928623
0.03,0.26,-0.002047439700668553,0.0936906572928623
0.03,0.27,-0.002077870237498028,0.0936906572928623
0.03,0.28,-0.002106360252453929,0.0936906572928623
0.03,0.29,-0.0021329097455362552,0.0936906572928623
0.03,0.3,-0.002157518716745006,0.0936906572928623
0.03,0.31,-0.0021804354340255704,0.0936906572928623
0.03,0.32,-0.002201836200693827,0.0936906572928623
0.03,0.33,-0.0022217210167497746,0.0936906572928623
0.03,0.34,-0.0022400898821934145,0.0936906572928623
0.03,0.35000000000000003,-0.0022569427970247457,0.0936906572928623
0.03,0.36,-0.0022724528655009217,0.0936906572928623
0.03,0.37,-0.0022867360982496148,0.0936906572928623
0.03,0.38,-0.0022997924952708262,0.0936906572928623
0.03,0.39,-0.002311622056564555,0.0936906572928623
0.03,0.4,-0.0023222247821308006,0.0936906572928623
0.03,0.41000000000000003,-0.0023317140890739387,0.0936906572928623
0.03,0.42,-0.0023401560526078707,0.0936906572928623
0.03,0.43,-0.0023475506727325926,0.0936906572928623
0.03,0.44,-0.002353897949448104,0.0936906572928623
0.03,0.45,-0.002359197882754405,0.0936906572928623
0.03,0.46,-0.002363514334852707,0.0936906572928623
0.03,0.47000000000000003,-0.002366869351583629,0.0936906572928623
0.03,0.48,-0.0023692629329471757,0.0936906572928623
0.03,0.49,-0.002370695078943347,0.0936906572928623
0.03,0.5,-0.002371165789572142,0.0936906572928623
0.03,0.51,-0.002370695078943347,0.0936906572928623
0.03,0.52,-0.0023692629329471757,0.0936906572928623
0.03,0.53,-0.0023668693515836287,0.0936906572928623
0.03,0.54,-0.0023635143348527065,0.0936906572928623
0.03,0.55,-0.0023591978827544077,0.0936906572928623
0.03,0.56,-0.002353897949448105,0.0936906572928623
0.03,0.5700000000000001,-0.0023475506727325926,0.0936906572928623
0.03,0.58,-0.00234015605260787,0.0936906572928623
0.03,0.59,-0.0023317140890739387,0.0936906572928623
0.03,0.6,-0.0023222247821307975,0.0936906572928623
0.03,0.61,-0.002311622056564551,0.0936906572928623
0.03,0.62,-0.0022997924952708245,0.0936906572928623
0.03,0.63,-0.0022867360982496156,0.0936906572928623
0.03,0.64,-0.002272452865500925,0.0936906572928623
0.03,0.65,-0.002256942797024753,0.0936906572928623
0.03,0.66,-0.00224008988219342,0.0936906572928623
0.03,0.67,-0.0022217210167497802,0.0936906572928623
0.03,0.68,-0.0022018362006938313,0.0936906572928623
0.03,0.6900000000000001,-0.0021804354340255743,0.0936906572928623
0.03,0.7000000000000001,-0.0021575187167450077,0.0936906572928623
0.03,0.71,-0.0021329097455362604,0.0936906572928623
0.03,0.72,-0.0021063602524539348,0.0936906572928623
0.03,0.73,-0.002077870237498034,0.0936906572928623
0.03,0.74,-0.0020474397006685586,0.0936906572928623
0.03,0.75,-0.0020150686419655095,0.0936906572928623
0.03,0.76,-0.001980504672976012,0.0936906572928623
0.03,0.77,-0.0019434022184934444,0.0936906572928623
0.03,0.78,-0.0019037612785178096,0.0936906572928623
0.03,0.79,-0.0018615818530491072,0.0936906572928623
0.03,0.8,-0.0018168639420873371,0.0936906572928623
0.03,0.81,-0.0017692566945173521,0.0936906572928623
0.03,0.8200000000000001,-0.0017182861699939044,0.0936906572928623
0.03,0.8300000000000001,-0.0016639523685169947,0.0936906572928623
0.03,0.84,-0.0016062552900866231,0.0936906572928623
0.03,0.85,-0.001545194934702789,0.0936906572928623
0.03,0.86,-0.0014802898599044377,0.0936906572928623
0.03,0.87,-0.0014108962131488528,0.0936906572928623
0.03,0.88,-0.0013370139944360372,0.0936906572928623
0.03,0.89,-0.0012586432037659905,0.0936906572928623
0.03,0.9,-0.0011757838411387128,0.0936906572928623
0.03,0.91,-0.0010877843330756498,0.0936906572928623
0.03,0.92,-0.000993769803679836,0.0936906572928623
0.03,0.93,-0.0008937402529512709,0.0936906572928623
0.03,0.9400000000000001,-0.0007876956808899548,0.0936906572928623
0.03,0.9500000000000001,-0.0006756360874958871,0.0936906572928623
0.03,0.96,-0.0005566660037160951,0.0936906572928623
0.03,0.97,-0.0004296173530766093,0.0936906572928623
0.03,0.98,-0.0002944901355774316,0.0936906572928623
0.03,0.99,-0.00015128435121856187,0.0936906572928623
0.03,1.,-3.352722444033955e-19,0.0936906572928623
0.04,0.,-9.611755835692293e-19,0.12434494358242741
0.04,0.01,-0.00020079859785827336,0.12434494358242741
0.04,0.02,-0.00039082577323695653,0.12434494358242741
0.04,0.03,-0.0005700815261360505,0.12434494358242741
0.04,0.04,-0.0007385658565555554,0.12434494358242741
0.04,0.05,-0.000896278764495471,0.12434494358242741
0.04,0.06,-0.0010450452449480882,0.12434494358242741
0.04,0.07,-0.0011857916969570364,0.12434494358242741
0.04,0.08,-0.0013185181205223157,0.12434494358242741
0.04,0.09,-0.0014432245156439257,0.12434494358242741
0.04,0.1,-0.0015599108823218671,0.12434494358242741
0.04,0.11,-0.0016699059185503273,0.12434494358242741
0.04,0.12,-0.001773916192169148,0.12434494358242741
0.04,0.13,-0.0018719417031783266,0.12434494358242741
0.04,0.14,-0.0019639824515778645,0.12434494358242741
0.04,0.15,-0.0020500384373677606,0.12434494358242741
