"time","space","u","f"
0.86,0.13,0.07907965042008488,-10.549052208437917
0.86,0.14,0.08963039553785551,-9.82287250728689
0.86,0.15,0.10066888605655258,-9.057926415993181
0.86,0.16,0.11215544674923074,-8.257232827308496
0.86,0.17,0.12404860975094616,-7.42395171302527
0.86,0.18,0.13630514664806812,-6.56137165301165
0.86,0.19,0.14887995508669155,-5.6728968566891655
0.86,0.2,0.16172673150618566,-4.762033728173374
0.86,0.21,0.17479801051024743,-3.8323770280987524
0.86,0.22,0.18804537924734543,-2.8875956867407426
0.86,0.23,0.20141937293893042,-1.93141832442415
0.86,0.24,0.21487001818347187,-0.9676185363621582
0.86,0.25,0.22834692350460545,-9.436065764660183e-16
0.86,0.26,0.24179947715975383,0.9676185363621563
0.86,0.27,0.2551770446565921,1.9314183244241518
0.86,0.28,0.2684291667292263,2.8875956867407435
0.86,0.29,0.28150575702221664,3.8323770280987466
0.86,0.3,0.2943571926479899,4.762033728173372
0.86,0.31,0.30693485749080207,5.672896856689165
0.86,0.32,0.3191910377482365,6.561371653011651
0.86,0.33,0.3310791363183581,7.423951713025274
0.86,0.34,0.34255371077991437,8.257232827308501
0.86,0.35000000000000003,0.3535711502113542,9.05792641599318
0.86,0.36,0.36408955932140397,9.822872507286892
0.86,0.37,0.37406878927515297,10.549052208437917
0.86,0.38,0.38347050078922,11.23359961992576
0.86,0.39,0.39225876324946246,11.87381314585725
0.86,0.4,0.40040019454846904,12.467166155931269
0.86,0.41000000000000003,0.4078636416428344,13.011316956894259
0.86,0.42,0.41462033380307384,13.504118034133672
0.86,0.43,0.4206442247688156,13.943624526937041
0.86,0.44,0.4259125890202925,14.328101903968696
0.86,0.45,0.4304052448990505,14.656032808672485
0.86,0.46,0.4341048393130289,14.926123047584934
0.86,0.47000000000000003,0.436996811653539,15.137306697925542
0.86,0.48,0.43907054819485225,15.288750314307043
0.86,0.49,0.44031811792563885,15.379856217963596
0.86,0.5,0.4407346988123871,15.410264855515791
0.86,0.51,0.44031811790124564,15.379856217963596
0.86,0.52,0.43907054814771396,15.288750314307045
0.86,0.53,0.4369968115867958,15.137306697925538
0.86,0.54,0.43410483923100107,14.926123047584934
0.86,0.55,0.43040524481051334,14.656032808672485
0.86,0.56,0.4259125889295287,14.328101903968694
0.86,0.5700000000000001,0.42064422467706464,13.943624526937043
0.86,0.58,0.4146203337092442,13.504118034133674
0.86,0.59,0.4078636415403339,13.01131695689426
0.86,0.6,0.40040019443229996,12.46716615593127
0.86,0.61,0.3922587631175679,11.873813145857252
0.86,0.62,0.3834705006410434,11.233599619925762
0.86,0.63,0.3740687891129974,10.54905220843792
0.86,0.64,0.3640895591485129,9.822872507286888
0.86,0.65,0.3535711500299092,9.057926415993183
0.86,0.66,0.3425537105921435,8.257232827308492
0.86,0.67,0.3310791361262769,7.423951713025271
0.86,0.68,0.3191910375536527,6.561371653011642
0.86,0.6900000000000001,0.3069348572958365,5.672896856689162
0.86,0.7000000000000001,0.29435719245474984,4.762033728173376
0.86,0.71,0.2815057568327346,3.8323770280987572
0.86,0.72,0.2684291665453647,2.887595686740741
0.86,0.73,0.2551770444802667,1.9314183244241554
0.86,0.74,0.2417994769927608,0.9676185363621532
0.86,0.75,0.22834692334855194,2.8308197293980543e-15
0.86,0.76,0.21487001804048117,-0.9676185363621476
0.86,0.77,0.20141937280961633,-1.9314183244241498
0.86,0.78,0.18804537913157204,-2.8875956867407355
0.86,0.79,0.17479801040716864,-3.832377028098752
0.86,0.8,0.1617267314133552,-4.76203372817337
0.86,0.81,0.14887995500246315,-5.672896856689169
0.86,0.8200000000000001,0.13630514657124881,-6.5613716530116495
0.86,0.8300000000000001,0.1240486096806742,-7.423951713025278
0.86,0.84,0.11215544668542665,-8.257232827308487
0.86,0.85,0.10066888599909062,-9.057926415993178
0.86,0.86,0.08963039548642524,-9.822872507286885
0.86,0.87,0.07907965037437763,-10.549052208437917
0.86,0.88,0.06905445477626462,-11.233599619925759
0.86,0.89,0.05959018093038833,-11.873813145857255
0.86,0.9,0.0507196275440339,-12.467166155931269
0.86,0.91,0.042473297242848804,-13.01131695689426
0.86,0.92,0.034879105966208954,-13.504118034133672
0.86,0.93,0.027962258110031522,-13.943624526937047
0.86,0.9400000000000001,0.02174512166958786,-14.328101903968696
0.86,0.9500000000000001,0.016247103382316337,-14.656032808672485
0.86,0.96,0.011484523870635316,-14.926123047584932
0.86,0.97,0.007470492784755789,-15.137306697925542
0.86,0.98,0.0042147839454945955,-15.288750314307043
0.86,0.99,0.001723710487087074,-15.379856217963596
0.86,1.,0.,-15.410264855515791
0.87,0.,-6.996747474515673e-17,-14.579372548428232
0.87,0.01,0.0019218249662435517,-14.55060348704478
0.87,0.02,0.00456962489398205,-14.464409841236371
0.87,0.03,0.007940816559641054,-14.321131777944885
0.87,0.04,0.01202939674613658,-14.121334750228602
0.87,0.05,0.016826061307604362,-13.865807265677347
