"t","u","f"
0.75,0.5626148823018602,-4.
0.76,0.5512789285627435,-3.9921069137130862
0.77,0.5388228475419192,-3.9684588052579115
0.78,0.5252724063151433,-3.929149002914755
0.79,0.510657101636355,-3.8743326445145243
0.8,0.49501006912355555,-3.8042260651806146
0.81,0.47836797772302914,-3.719105943553005
0.8200000000000001,0.4607709095591827,-3.6193082098640783
0.8300000000000001,0.44226222819150324,-3.5052267201754534
0.84,0.42288843240367596,-3.377311702008062
0.85,0.4026989985570296,-3.2360679774997902
0.86,0.3817462116271478,-3.0820529711031583
0.87,0.3600849837104523,-2.915874509685646
0.88,0.3377726637452285,-2.738188423714756
0.89,0.31486883928907294,-2.5496959589947585
0.9,0.2914351240200459,-2.3511410091698934
0.91,0.26753494088217167,-2.1433071799159853
0.92,0.24323329902838073,-1.9270146964068613
0.93,0.21859656457290494,-1.7031171662602889
0.9400000000000001,0.19369222212162945,-1.4724982107387115
0.9500000000000001,0.16858863345208858,-1.2360679774997907
0.96,0.14335479479659724,-0.9947595486594214
0.97,0.1180600905830074,-0.7495252583428987
0.98,0.0927740440417286,-0.5013329342572186
0.99,0.0675660675407923,-0.25116207811725305
1.,0.04250521405899386,-9.797174393178826e-16
1.01,0.017659929232585143,0.2511620781172511
1.02,-0.006902193431254135,0.5013329342572167
1.03,-0.031114655816971454,0.7495252583428968
1.04,-0.05491229398484356,0.9947595486594195
1.05,-0.07823151179942534,1.2360679774997887
1.06,-0.10101050634018345,1.4724982107387128
1.07,-0.12318949025343191,1.7031171662602902
1.08,-0.14471090572213802,1.9270146964068626
1.09,-0.16551962919247334,2.1433071799159866
1.1,-0.18556316362963143,2.3511410091698943
1.11,-0.20479182629224127,2.54969595899476
1.12,-0.2231589245511385,2.738188423714757
1.1300000000000001,-0.2406209192809321,2.9158745096856475
1.1400000000000001,-0.2571375719701165,3.082052971103157
1.1500000000000001,-0.2726720862402132,3.236067977499791
1.16,-0.28719123486962816,3.377311702008059
1.17,-0.3006654714305221,3.5052267201754526
1.18,-0.3130690234481985,3.6193082098640774
1.19,-0.3243799792123976,3.7191059435530045
1.2,-0.33458035786635204,3.804226065180614
1.21,-0.34365616286888523,3.874332644514524
1.22,-0.35159741519812004,3.9291490029147544
1.23,-0.3583981798108304,3.968458805257911
1.24,-0.36405657503204564,3.9921069137130862
1.25,-0.3685747643462378,4.
1.26,-0.3719589278451936,3.9921069137130862
1.27,-0.3742192270051115,3.9684588052579115
1.28,-0.3753697526566526,3.9291490029147544
1.29,-0.3754284558560279,3.8743326445145243
1.3,-0.374417059381148,3.8042260651806146
1.31,-0.37236096305572153,3.7191059435530067
1.32,-0.369289133816505,3.619308209864077
1.33,-0.3652339799122091,3.5052267201754534
1.34,-0.3602312082256736,3.3773117020080603
1.35,-0.35431967623411004,3.2360679774997902
1.36,-0.34754123098186096,3.0820529711031543
1.37,-0.3399405348604408,2.915874509685644
1.3800000000000001,-0.33156487749155716,2.7381884237147536
1.3900000000000001,-0.3224639845254804,2.549695958994759
1.4000000000000001,-0.31268981361544307,2.3511410091698934
1.41,-0.3022963417927922,2.143307179915989
1.42,-0.29133934863775623,1.9270146964068648
1.43,-0.279876191248172,1.7031171662602957
1.44,-0.26796557032575763,1.472498210738712
1.45,-0.25566729505814545,1.2360679774997911
1.46,-0.2430420435081759,0.994759548659422
1.47,-0.2301511212978046,0.7495252583429027
1.48,-0.21705621676589365,0.5013329342572156
1.49,-0.20381915477093854,0.25116207811725355
1.5,-0.19050165108406,1.4695761589768238e-15
1.51,-0.1771650686667836,-0.2511620781172506
1.52,-0.16387017489156783,-0.5013329342572127
1.53,-0.1506769020877591,-0.7495252583428998
1.54,-0.13764411186149256,-0.9947595486594191
1.55,-0.12482936329188687,-1.2360679774997883
1.56,-0.11228868832630629,-1.472498210738709
1.57,-0.10007637270642354,-1.703117166260293
1.58,-0.08824474428793792,-1.9270146964068622
1.59,-0.0768439705467775,-2.143307179915986
1.6,-0.06592186334950907,-2.351141009169891
1.61,-0.055523695164557,-2.549695958994762
1.62,-0.04569202529260525,-2.7381884237147567
1.6300000000000001,-0.036466536042869015,-2.915874509685647
1.6400000000000001,-0.027883883591305662,-3.0820529711031566
1.6500000000000001,-0.019977558878824152,-3.236067977499789
1.6600000000000001,-0.012777759848747662,-3.3773117020080625
1.67,-0.006311281663447108,-3.505226720175452
1.68,-0.0006014190263973953,-3.6193082098640756
1.69,0.0043321210242718,-3.7191059435530054
1.7,0.008473286964471615,-3.8042260651806137
1.71,0.01180973569996814,-3.874332644514524
1.72,0.014332875309764258,-3.929149002914754
1.73,0.01603788917132502,-3.9684588052579115
1.74,0.01692374297271008,-3.9921069137130862
1.75,0.016993180351199122,-4.
1.76,0.016252702782248232,-3.9921069137130862
1.77,0.014712531191975445,-3.968458805257912
1.78,0.012386554562677496,-3.9291490029147544
1.79,0.009292265894705241,-3.8743326445145247
1.8,0.005450680392568441,-3.804226065180615
1.81,0.0008862391705652915,-3.7191059435530067
1.82,-0.004373297184662662,-3.619308209864077
1.83,-0.010296970605944686,-3.505226720175454
1.84,-0.016850762317718735,-3.3773117020080607
1.85,-0.023997738687969984,-3.2360679774997907
1.86,-0.031698209116439016,-3.0820529711031543
1.87,-0.03990989743099703,-2.9158745096856444
1.8800000000000001,-0.04858812238711649,-2.738188423714754
1.8900000000000001,-0.05768598620916724,-2.549695958994759
1.9000000000000001,-0.06715457381308021,-2.351141009169894
1.9100000000000001,-0.07694316121683167,-2.143307179915983
1.92,-0.08699942864394894,-1.9270146964068653
1.93,-0.09726968030090186,-1.7031171662602962
1.94,-0.10769907245182747,-1.4724982107387123
1.95,-0.11823184411944546,-1.2360679774997916
1.96,-0.1288115498161814,-0.9947595486594224
1.97,-0.1393812981616631,-0.7495252583429032
1.98,-0.14988399222403054,-0.501332934257216
1.99,-0.1602625674804641,-0.25116207811725405
2.,-0.170460231782103,-1.959434878635765e-15
2.0100000000000002,-0.18042070643994532,0.2511620781172572
2.02,-0.19008846166807886,0.5013329342572121
2.0300000000000002,-0.19940894913359616,0.7495252583428994
2.04,-0.2083288343422971,0.9947595486594186
2.05,-0.2167962218378061,1.236067977499781
2.06,-0.22476087228496924,1.4724982107387086
2.07,-0.2321744169428937,1.7031171662602862
2.08,-0.23899056482192213,1.9270146964068617
2.09,-0.2451652971309541,2.14330717991598
2.1,-0.2506570555574991,2.3511410091698908
2.11,-0.25542692300372855,2.5496959589947563
2.12,-0.2594387906616674,2.7381884237147562
2.13,-0.2626595135015427,2.9158745096856418
2.14,-0.2650590559049572,3.0820529711031566
2.15,-0.2666106229459512,3.2360679774997885
2.16,-0.26729078167967724,3.377311702008062
2.17,-0.2670795672720488,3.505226720175452
2.18,-0.2659605739991114,3.6193082098640783
2.19,-0.26392103381708953,3.7191059435530054
2.2,-0.26095187985296925,3.804226065180616
2.21,-0.2570477947942744,3.8743326445145234
2.22,-0.25220724583841275,3.9291490029147553
2.23,-0.24643250207486553,3.9684588052579115
2.24,-0.2397296381012389,3.9921069137130867
2.25,-0.23210852280102437,4.
2.2600000000000002,-0.22358279112070906,3.9921069137130862
2.27,-0.21416980315544254,3.968458805257912
2.2800000000000002,-0.20389058663779444,3.9291490029147544
2.29,-0.19276976449857838,3.8743326445145247
2.3000000000000003,-0.18083546972991302,3.804226065180613
2.31,-0.16811924404808953,3.719105943553007
2.32,-0.15465592420952845,3.6193082098640805
2.33,-0.14048351513740626,3.505226720175454
2.34,-0.12564304876677626,3.3773117020080647
2.35,-0.11017843254450521,3.236067977499791
2.36,-0.0941362852444639,3.0820529711031592
2.37,-0.07756576150388114,2.9158745096856444
2.38,-0.06051836736684527,2.7381884237147593
2.39,-0.04304776479955904,2.5496959589947594
2.4,-0.025209568062276397,2.3511410091698943
2.41,-0.0070611325533180246,2.1433071799159835
2.42,0.011338664823638982,1.9270146964068657
2.43,0.02992965048666547,1.7031171662602902
2.44,0.0486505839449714,1.4724982107387128
2.45,0.06743939426072261,1.2360679774997851
2.46,0.08623341848652125,0.9947595486594228
2.47,0.10496964244339654,0.7495252583428967
