"t","u","f"
0.,9.688520630840834e-19,0.
0.01,2.0789000590822126e-6,0.1246523034434331
0.02,0.00001642774233660393,0.24327135957844556
0.03,0.000054494713600948315,0.34999878740063506
0.04,0.00012632119523558945,0.4393213992155904
0.05,0.00024002320202501387,0.5062325628940015
0.06,0.00040133353875658636,0.5463803987919016
0.07,0.0006132182007663238,0.5561989410707827
0.08,0.0008755785783379007,0.5330188207329297
0.09,0.0011850487552417049,0.4751545419293564
0.1,0.0015348946759512097,0.38196601125010515
0.11,0.0019150192576902804,0.2538926271823883
0.12,0.002312074710576333,0.0924589276582683
0.13,0.002709680472806532,-0.09974848953171526
0.14,0.0030887423403395137,-0.31913233350736775
0.15,0.0034278656434908123,-0.5611631188171802
0.16,0.0037038527655227347,-0.8204829522715971
0.17,0.0038922729757828456,-1.0910321212523701
0.18,0.003968090521600123,-1.366195413879061
0.19,0.003906335241125866,-1.6389645937970325
0.2,0.003682798667222619,-1.902113032590307
0.21,0.003274737724348854,-2.1483781814484235
0.22,0.0026615676996703413,-2.3706473488376214
0.23,0.001825526208787109,-2.562142148028217
0.24,0.0007522903765275999,-2.7165969901365243
0.25,-0.0005684695961814333,-2.8284271247461903
0.26,-0.0021426159289287447,-2.8928819682472744
0.27,-0.003971161495475144,-2.906179804080997
0.28,-0.006049992337657564,-2.8656203807937373
0.29,-0.00836970356913536,-2.769672462459837
0.3,-0.010915555100440214,-2.618033988749895
0.31,-0.013667550759068307,-2.4116631639833606
0.32,-0.016600641410585815,-2.152779499718915
0.33,-0.019685049681355336,-1.8448345665329913
0.34,-0.02288671091410778,-1.4924529496912666
0.35000000000000003,-0.026167822127078216,-1.1013446322926337
0.36,-0.02948748806621577,-0.6781907302552367
0.37,-0.03280245100428125,-0.2305051589885102
0.38,-0.03606788881083519,0.23352459438024842
0.39,-0.03923826404623881,0.7052139014202795
0.4,-0.04226820546524097,1.1755705045849454
0.41000000000000003,-0.04511340238616772,1.6354926607277653
0.42,-0.04773149191422444,2.0759712435927153
0.43,-0.05008291901480998,2.4882910242304725
0.44,-0.05213174991634581,2.864226355588975
0.45,-0.05384642027167285,3.1962266107498305
