"t","u","f"
0.,0.,0.
0.01,4.1774720135838e-6,0.2511620781172535
0.02,0.000033315746196533195,0.501332934257217
0.03,0.00011204434979877661,0.7495252583428984
0.04,0.0002645409929401147,0.9947595486594192
0.05,0.0005144338253438531,1.2360679774997896
0.06,0.0008847059364953875,1.4724982107387117
0.07,0.001397602475825462,1.7031171662602909
0.08,0.002074540759167042,1.9270146964068613
0.09,0.002936023715935759,2.1433071799159866
0.1,0.004001557018291131,2.3511410091698925
0.11,0.005289570218989216,2.5496959589947585
0.12,0.006817342208810274,2.7381884237147545
0.13,0.008600931287382287,2.915874509685646
0.14,0.010655110123007353,3.082052971103157
0.15,0.012993305857790308,3.23606797749979
0.16,0.015627545594051294,3.3773117020080603
0.17,0.018568407476762413,3.505226720175455
0.18,0.021824977564643574,3.6193082098640783
0.19,0.025404812659707524,3.7191059435530054
0.2,0.02931390924151298,3.804226065180614
0.21,0.033556678628284334,3.8743326445145243
0.22,0.03813592846247388,3.9291490029147544
0.23,0.04305285059337164,3.9684588052579115
0.24,0.04830701540411378,3.9921069137130862
0.25,0.053896372604998695,4.
0.26,0.059817258489491876,3.9921069137130862
0.27,0.0660644096237857,3.968458805257911
0.28,0.07263098291538432,3.9291490029147544
0.29,0.07950858198099728,3.8743326445145247
0.3,0.0866872897091606,3.8042260651806146
0.31,0.09415570688854565,3.719105943553006
0.32,0.10190099674897338,3.619308209864078
0.33,0.10990893523880478,3.505226720175454
0.34,0.11816396683973816,3.37731170200806
0.35000000000000003,0.1266492656981787,3.23606797749979
0.36,0.1353468018313583,3.082052971103157
0.37,0.14423741214635047,2.9158745096856458
0.38,0.153300875991124,2.7381884237147553
0.39,0.16251599493888436,2.5496959589947594
0.4,0.1718606764902437,2.351141009169893
0.41000000000000003,0.18131202136228755,2.1433071799159866
0.42,0.19084641401944968,1.9270146964068624
0.43,0.2004396160883012,1.7031171662602915
0.44,0.21006686228697993,1.4724982107387126
0.45,0.21970295849005098,1.23606797749979
0.46,0.22932238154116139,0.9947595486594193
0.47000000000000003,0.23889938041894354,0.7495252583428983
0.48,0.24840807835628526,0.5013329342572181
0.49,0.2578225755093068,0.25116207811725433
